,0
1062,1
1063,12
1064,2
1065,12
1066,4
1067,7
1068,15
1069,3
1070,12
1071,18
1072,1
1073,12
1074,14
1075,19
1076,17
1077,12
1078,11
1079,16
1080,12
1081,6
1082,5
1083,1
1084,9
1085,6
1086,15
1087,8
1088,11
1089,13
1090,11
1091,12
1092,9
1093,11
1094,11
1095,14
1096,4
1097,0
1098,13
1099,5
1100,10
1101,6
1102,18
1103,0
1104,9
1105,9
1106,9
1107,10
1108,0
1109,16
1110,8
1111,0
1112,4
1113,17
1114,14
1115,12
1116,16
1117,5
1118,0
1119,17
1120,6
1121,5
1122,1
1123,4
1124,9
1125,15
1126,0
1127,7
1128,10
1129,2
1130,14
1131,13
1132,10
1133,11
1134,2
1135,19
1136,18
1137,5
1138,8
1139,17
1140,17
1141,11
1142,9
1143,17
1144,13
1145,4
1146,4
1147,11
1148,1
1149,14
1150,6
1151,19
1152,9
1153,4
1154,3
1155,2
1156,11
1157,15
1158,14
1159,18
1160,0
1161,0
1162,2
1163,1
1164,4
1165,19
1166,8
1167,9
1168,5
1169,0
1170,8
1171,19
1172,8
1173,8
1174,7
1175,5
1176,18
1177,5
1178,10
1179,15
1180,5
1181,8
1182,9
1183,10
1184,11
1185,17
1186,17
1187,5
1188,9
1189,15
1190,14
1191,9
1192,8
1193,9
1194,5
1195,10
1196,9
1197,7
1198,0
1199,5
1200,4
1201,1
1202,5
1203,19
1204,10
1205,4
1206,2
1207,18
1208,12
1209,5
1210,18
1211,15
1212,7
1213,13
1214,4
1215,9
1216,2
1217,0
1218,0
1219,15
1220,13
1221,6
1222,13
1223,7
1224,7
1225,1
1226,1
1227,2
1228,18
1229,10
1230,7
1231,4
1232,9
1233,7
1234,14
1235,5
1236,8
1237,14
1238,15
1239,19
1240,13
1241,9
1242,9
1243,7
1244,0
1245,5
1246,12
1247,14
1248,10
1249,19
1250,12
1251,4
1252,2
1253,12
1254,10
1255,19
1256,2
1257,10
1258,6
1259,15
1260,1
1261,15
1262,4
1263,10
1264,5
1265,15
1266,13
1267,12
1268,1
1269,17
1270,9
1271,14
1272,18
1273,12
1274,5
1275,9
1276,11
1277,10
1278,12
1279,14
1280,7
1281,7
1282,15
1283,6
1284,16
1285,9
1286,5
1287,9
1288,6
1289,10
1290,4
1291,4
1292,17
1293,1
1294,6
1295,18
1296,15
1297,11
1298,18
1299,0
1300,10
1301,9
1302,16
1303,4
1304,19
1305,0
1306,18
1307,15
1308,6
1309,14
1310,6
1311,2
1312,13
1313,11
1314,5
1315,17
1316,10
1317,18
1318,14
1319,4
1320,14
1321,0
1322,12
1323,5
1324,2
1325,9
1326,14
1327,17
1328,5
1329,6
1330,5
1331,0
1332,7
1333,12
1334,9
1335,18
1336,8
1337,9
1338,8
1339,18
1340,19
1341,8
1342,10
1343,7
1344,5
1345,17
1346,2
1347,10
1348,2
1349,10
1350,17
1351,17
1352,17
1353,0
1354,6
1355,0
1356,8
1357,6
1358,13
1359,0
1360,12
1361,15
1362,15
1363,7
1364,1
1365,19
1366,19
1367,1
1368,16
1369,6
1370,4
1371,18
1372,10
1373,16
1374,11
1375,10
1376,11
1377,1
1378,18
1379,17
1380,19
1381,17
1382,17
1383,19
1384,19
1385,5
1386,18
1387,11
1388,19
1389,16
1390,17
1391,2
1392,18
1393,19
1394,1
1395,8
1396,6
1397,17
1398,17
1399,11
1400,12
1401,1
1402,11
1403,19
1404,16
1405,14
1406,15
1407,12
1408,15
1409,18
1410,4
1411,3
1412,15
1413,2
1414,6
1415,8
1416,10
1417,12
1418,17
1419,15
1420,8
1421,9
1422,3
1423,17
1424,14
1425,18
1426,9
1427,17
1428,11
1429,19
1430,11
1431,11
1432,10
1433,13
1434,17
1435,6
1436,18
1437,19
1438,19
1439,19
1440,10
1441,12
1442,4
1443,10
1444,17
1445,10
1446,19
1447,15
1448,1
1449,11
1450,8
1451,5
1452,9
1453,11
1454,10
1455,12
1456,0
1457,17
1458,19
1459,14
1460,19
1461,14
1462,4
1463,16
1464,5
1465,9
1466,14
1467,9
1468,5
1469,19
1470,4
1471,7
1472,7
1473,7
1474,0
1475,9
1476,6
1477,6
1478,9
1479,17
1480,18
1481,0
1482,4
1483,15
1484,11
1485,1
1486,11
1487,17
1488,14
1489,1
1490,1
1491,13
1492,4
1493,19
1494,17
1495,14
1496,10
1497,6
1498,4
1499,1
1500,15
1501,6
1502,4
1503,18
1504,11
1505,15
1506,10
1507,0
1508,16
1509,3
1510,18
1511,9
1512,10
1513,0
1514,12
1515,10
1516,15
1517,7
1518,5
1519,11
1520,12
1521,14
1522,18
1523,12
1524,0
1525,19
1526,18
1527,2
1528,10
1529,12
1530,2
1531,12
1532,3
1533,18
1534,10
1535,9
1536,2
1537,19
1538,8
1539,18
1540,19
1541,9
1542,19
1543,6
1544,11
1545,9
1546,6
1547,9
1548,4
1549,4
1550,13
1551,12
1552,19
1553,5
1554,14
1555,18
1556,15
1557,14
1558,9
1559,15
1560,13
1561,15
1562,5
1563,10
1564,8
1565,8
1566,4
1567,7
1568,19
1569,6
1570,16
1571,18
1572,4
1573,8
1574,15
1575,9
1576,11
1577,6
1578,19
1579,1
1580,17
1581,18
1582,19
1583,9
1584,18
1585,4
1586,13
1587,0
1588,8
1589,13
1590,10
1591,12
1592,2
1593,19
1594,13
1595,10
1596,2
1597,7
1598,15
1599,19
1600,6
1601,12
1602,10
1603,5
1604,15
1605,0
1606,6
1607,10
1608,6
1609,14
1610,17
1611,13
1612,0
1613,12
1614,0
1615,18
1616,1
1617,1
1618,0
1619,0
1620,6
1621,5
1622,11
1623,18
1624,11
1625,19
1626,18
1627,17
1628,4
1629,6
1630,1
1631,9
1632,19
1633,6
1634,8
1635,1
1636,11
1637,13
1638,17
1639,7
1640,9
1641,11
1642,4
1643,8
1644,10
1645,7
1646,14
1647,9
1648,12
1649,6
1650,17
1651,0
1652,7
1653,13
1654,2
1655,2
1656,6
1657,6
1658,15
1659,12
1660,2
1661,9
1662,10
1663,5
1664,19
1665,6
1666,4
1667,9
1668,11
1669,15
1670,9
1671,10
1672,1
1673,12
1674,8
1675,15
1676,11
1677,14
1678,10
1679,14
1680,9
1681,2
1682,19
1683,15
1684,12
1685,17
1686,19
1687,8
1688,2
1689,6
1690,12
1691,19
1692,13
1693,4
1694,12
1695,17
1696,18
1697,16
1698,0
1699,17
1700,17
1701,7
1702,19
1703,5
1704,15
1705,6
1706,0
1707,7
1708,4
1709,1
1710,6
1711,7
1712,4
1713,5
1714,4
1715,2
1716,7
1717,9
1718,9
1719,0
1720,4
1721,13
1722,1
1723,6
1724,6
1725,5
1726,19
1727,12
1728,10
1729,19
1730,11
1731,2
1732,18
1733,19
1734,7
1735,19
1736,1
1737,4
1738,5
1739,2
1740,9
1741,13
1742,18
1743,15
1744,10
1745,3
1746,15
1747,19
1748,8
1749,9
1750,1
1751,17
1752,2
1753,10
1754,12
1755,13
1756,19
1757,19
1758,8
1759,1
1760,11
1761,12
1762,15
1763,14
1764,12
1765,7
1766,15
1767,0
1768,4
1769,14
1770,4
1771,6
1772,11
1773,9
1774,6
1775,12
1776,19
1777,9
1778,11
1779,5
1780,11
1781,9
1782,5
1783,7
1784,1
1785,10
1786,4
1787,10
1788,7
1789,7
1790,4
1791,19
1792,11
1793,9
1794,14
1795,10
1796,2
1797,2
1798,12
1799,19
1800,6
1801,17
1802,17
1803,14
1804,13
1805,9
1806,17
1807,1
1808,6
1809,12
1810,17
1811,5
1812,7
1813,4
1814,18
1815,13
1816,8
1817,18
1818,9
1819,6
1820,17
1821,7
1822,7
1823,8
1824,10
1825,14
1826,19
1827,12
1828,14
1829,11
1830,15
1831,2
1832,18
1833,9
1834,4
1835,12
1836,10
1837,9
1838,8
1839,12
1840,18
1841,19
1842,13
1843,15
1844,9
1845,4
1846,17
1847,1
1848,19
1849,8
1850,19
1851,8
1852,7
1853,4
1854,13
1855,13
1856,1
1857,7
1858,14
1859,1
1860,18
1861,0
1862,11
1863,6
1864,4
1865,12
1866,15
1867,6
1868,17
1869,10
1870,19
1871,11
1872,18
1873,8
1874,1
1875,9
1876,13
1877,11
1878,9
1879,9
1880,0
1881,1
1882,12
1883,14
1884,5
1885,5
1886,9
1887,1
1888,4
1889,17
1890,11
1891,19
1892,2
1893,6
1894,2
1895,10
1896,11
1897,18
1898,5
1899,17
1900,4
1901,4
1902,10
1903,6
1904,12
1905,17
1906,2
1907,8
1908,19
1909,19
1910,1
1911,18
1912,15
1913,10
1914,16
1915,2
1916,2
1917,11
1918,4
1919,0
1920,6
1921,6
1922,0
1923,6
1924,11
1925,2
1926,1
1927,8
1928,2
1929,4
1930,9
1931,10
1932,17
1933,11
1934,18
1935,2
1936,1
1937,6
1938,0
1939,8
1940,6
1941,0
1942,19
1943,5
1944,11
1945,13
1946,6
1947,7
1948,6
1949,16
1950,14
1951,11
1952,16
1953,11
1954,9
1955,15
1956,14
1957,12
1958,17
1959,6
1960,11
1961,18
1962,4
1963,12
1964,6
1965,15
1966,12
1967,2
1968,5
1969,11
1970,18
1971,11
1972,18
1973,15
1974,11
1975,8
1976,10
1977,17
1978,19
1979,6
1980,6
1981,17
1982,1
1983,19
1984,17
1985,0
1986,6
1987,10
1988,17
1989,4
1990,11
1991,19
1992,0
1993,17
1994,13
1995,17
1996,15
1997,13
1998,10
1999,1
2000,2
2001,0
2002,4
2003,0
2004,19
2005,11
2006,6
2007,14
2008,7
2009,17
2010,15
2011,11
2012,1
2013,19
2014,4
2015,19
2016,17
2017,11
2018,6
2019,19
2020,1
2021,14
2022,11
2023,11
2024,12
2025,3
2026,3
2027,1
2028,9
2029,10
2030,7
2031,19
2032,11
2033,6
2034,10
2035,19
2036,13
2037,0
2038,0
2039,18
2040,17
2041,7
2042,9
2043,1
2044,4
2045,1
2046,2
2047,7
2048,7
2049,19
2050,18
2051,10
2052,12
2053,5
2054,11
2055,19
2056,15
2057,14
2058,1
2059,12
2060,19
2061,15
2062,15
2063,12
2064,15
2065,19
2066,2
2067,1
2068,9
2069,7
2070,2
2071,11
2072,8
2073,9
2074,0
2075,0
2076,9
2077,10
2078,14
2079,9
2080,0
2081,4
2082,9
2083,6
2084,1
2085,15
2086,12
2087,10
2088,1
2089,19
2090,1
2091,12
2092,12
2093,4
2094,1
2095,18
2096,14
2097,17
2098,9
2099,7
2100,19
2101,18
2102,17
2103,18
2104,0
2105,4
2106,2
2107,17
2108,6
2109,13
2110,4
2111,6
2112,17
2113,18
2114,5
2115,13
2116,19
2117,4
2118,10
2119,7
2120,10
2121,15
2122,10
2123,6
2124,19
2125,10
2126,4
2127,9
2128,18
2129,0
2130,1
2131,0
2132,3
2133,11
2134,7
2135,18
2136,15
2137,2
2138,1
2139,2
2140,14
2141,12
2142,16
2143,2
2144,19
2145,14
2146,17
2147,9
2148,1
2149,5
2150,8
2151,11
2152,12
2153,16
2154,14
2155,18
2156,2
2157,8
2158,7
2159,5
2160,6
2161,9
2162,12
2163,8
2164,13
2165,14
2166,4
2167,13
2168,8
2169,19
2170,8
2171,1
2172,1
2173,16
2174,2
2175,19
2176,1
2177,1
2178,2
2179,14
2180,15
2181,19
2182,12
2183,4
2184,5
2185,19
2186,8
2187,19
2188,17
2189,16
2190,4
2191,7
2192,15
2193,11
2194,0
2195,4
2196,5
2197,5
2198,19
2199,13
2200,9
2201,19
2202,1
2203,15
2204,13
2205,5
2206,19
2207,16
2208,9
2209,12
2210,2
2211,2
2212,1
2213,5
2214,0
2215,14
2216,2
2217,4
2218,7
2219,2
2220,14
2221,17
2222,7
2223,17
2224,13
2225,6
2226,1
2227,0
2228,17
2229,14
2230,9
2231,5
2232,15
2233,14
2234,11
2235,5
2236,14
2237,5
2238,2
2239,14
2240,19
2241,2
2242,11
2243,5
2244,9
2245,7
2246,14
2247,18
2248,9
2249,14
2250,17
2251,7
2252,13
2253,17
2254,18
2255,2
2256,13
2257,15
2258,19
2259,1
2260,10
2261,5
2262,12
2263,2
2264,11
2265,4
2266,19
2267,17
2268,2
2269,12
2270,6
2271,10
2272,0
2273,4
2274,4
2275,6
2276,0
2277,2
2278,4
2279,12
2280,11
2281,9
2282,15
2283,18
2284,6
2285,7
2286,8
2287,5
2288,10
2289,5
2290,13
2291,4
2292,7
2293,11
2294,19
2295,15
2296,1
2297,8
2298,9
2299,10
2300,14
2301,19
2302,1
2303,10
2304,17
2305,18
2306,5
2307,1
2308,5
2309,9
2310,14
2311,1
2312,18
2313,9
2314,12
2315,8
2316,6
2317,2
2318,11
2319,1
2320,1
2321,6
2322,18
2323,19
2324,12
2325,15
2326,4
2327,6
2328,5
2329,13
2330,0
2331,5
2332,10
2333,0
2334,18
2335,15
2336,19
2337,16
2338,9
2339,18
2340,17
2341,15
2342,2
2343,1
2344,2
2345,7
2346,4
2347,19
2348,17
2349,11
2350,2
2351,15
2352,11
2353,3
2354,6
2355,13
2356,4
2357,19
2358,10
2359,12
2360,11
2361,1
2362,7
2363,9
2364,7
2365,10
2366,9
2367,5
2368,0
2369,5
2370,19
2371,13
2372,10
2373,4
2374,12
2375,14
2376,0
2377,1
2378,2
2379,15
2380,10
2381,17
2382,8
2383,12
2384,19
2385,16
2386,4
2387,12
2388,5
2389,14
2390,2
2391,2
2392,10
2393,14
2394,18
2395,13
2396,10
2397,4
2398,4
2399,6
2400,4
2401,11
2402,9
2403,4
2404,11
2405,5
2406,1
2407,11
2408,15
2409,15
2410,17
2411,13
2412,16
2413,18
2414,1
2415,7
2416,2
2417,15
2418,8
2419,3
2420,6
2421,4
2422,18
2423,2
2424,11
2425,7
2426,9
2427,6
2428,14
2429,15
2430,0
2431,9
2432,2
2433,11
2434,10
2435,1
2436,1
2437,18
2438,11
2439,19
2440,4
2441,5
2442,10
2443,0
2444,17
2445,7
2446,1
2447,1
2448,10
2449,3
2450,13
2451,0
2452,1
2453,17
2454,4
2455,5
2456,13
2457,11
2458,1
2459,15
2460,7
2461,4
2462,11
2463,19
2464,13
2465,0
2466,13
2467,9
2468,17
2469,4
2470,17
2471,7
2472,1
2473,9
2474,4
2475,9
2476,14
2477,6
2478,6
2479,12
2480,6
2481,11
2482,17
2483,13
2484,13
2485,4
2486,1
2487,9
2488,6
2489,8
2490,19
2491,19
2492,7
2493,2
2494,0
2495,17
2496,17
2497,13
2498,8
2499,14
2500,9
2501,14
2502,14
2503,11
2504,17
2505,11
2506,9
2507,7
2508,0
2509,6
2510,4
2511,9
2512,14
2513,16
2514,1
2515,5
2516,9
2517,6
2518,1
2519,5
2520,14
2521,5
2522,15
2523,11
2524,9
2525,13
2526,18
2527,13
2528,16
2529,7
2530,13
2531,15
2532,13
2533,11
2534,15
2535,18
2536,13
2537,2
2538,15
2539,11
2540,12
2541,15
2542,2
2543,7
2544,15
2545,6
2546,14
2547,12
2548,3
2549,7
2550,8
2551,18
2552,4
2553,11
2554,11
2555,4
2556,16
2557,17
2558,12
2559,18
2560,7
2561,10
2562,0
2563,19
2564,5
2565,4
2566,10
2567,14
2568,0
2569,19
2570,1
2571,13
2572,9
2573,16
2574,1
2575,18
2576,5
2577,12
2578,9
2579,8
2580,3
2581,4
2582,1
2583,15
2584,15
2585,15
2586,16
2587,11
2588,0
2589,16
2590,19
2591,7
2592,18
2593,4
2594,8
2595,18
2596,19
2597,1
2598,4
2599,0
2600,9
2601,18
2602,9
2603,12
2604,13
2605,19
2606,5
2607,4
2608,11
2609,14
2610,12
2611,19
2612,7
2613,9
2614,5
2615,12
2616,13
2617,5
2618,15
2619,12
2620,1
2621,19
2622,18
2623,2
2624,19
2625,13
2626,4
2627,8
2628,1
2629,10
2630,7
2631,17
2632,4
2633,2
2634,11
2635,0
2636,12
2637,17
2638,16
2639,5
2640,0
2641,15
2642,8
2643,15
2644,10
2645,2
2646,4
2647,19
2648,10
2649,0
2650,0
2651,10
2652,0
2653,11
2654,0
2655,17
2656,6
2657,2
2658,19
2659,11
2660,8
2661,5
2662,17
2663,9
2664,0
2665,11
2666,1
2667,15
2668,6
2669,19
2670,15
2671,15
2672,15
2673,11
2674,11
2675,7
2676,6
2677,17
2678,5
2679,10
2680,9
2681,5
2682,18
2683,2
2684,18
2685,11
2686,7
2687,17
2688,10
2689,1
2690,9
2691,5
2692,12
2693,17
2694,18
2695,13
2696,12
2697,4
2698,8
2699,11
2700,12
2701,12
2702,0
2703,19
2704,10
2705,8
2706,1
2707,13
2708,13
2709,7
2710,11
2711,11
2712,18
2713,0
2714,7
2715,17
2716,4
2717,14
2718,13
2719,9
2720,10
2721,8
2722,1
2723,15
2724,13
2725,4
2726,7
2727,18
2728,4
2729,2
2730,19
2731,5
2732,14
2733,10
2734,5
2735,1
2736,9
2737,18
2738,0
2739,8
2740,15
2741,16
2742,7
2743,5
2744,2
2745,19
2746,4
2747,8
2748,17
2749,5
2750,10
2751,19
2752,19
2753,12
2754,5
2755,2
2756,5
2757,17
2758,7
2759,9
2760,13
2761,10
2762,11
2763,17
2764,6
2765,9
2766,17
2767,9
2768,1
2769,1
2770,14
2771,6
2772,5
2773,10
2774,11
2775,4
2776,7
2777,8
2778,14
2779,11
2780,8
2781,12
2782,6
2783,14
2784,12
2785,3
2786,10
2787,14
2788,4
2789,12
2790,8
2791,19
2792,8
2793,13
2794,7
2795,6
2796,15
2797,0
2798,5
2799,15
2800,11
2801,0
2802,2
2803,0
2804,4
2805,5
2806,2
2807,0
2808,0
2809,15
2810,19
2811,7
2812,9
2813,18
2814,7
2815,17
2816,19
2817,15
2818,17
2819,5
2820,18
2821,12
2822,8
2823,10
2824,5
2825,17
2826,13
2827,5
2828,19
2829,5
2830,2
2831,5
2832,8
2833,19
2834,4
2835,12
2836,9
2837,12
2838,14
2839,7
2840,9
2841,14
2842,15
2843,1
2844,15
2845,5
2846,10
2847,6
2848,19
2849,17
2850,6
2851,14
2852,13
2853,17
2854,2
2855,17
2856,18
2857,15
2858,9
2859,11
2860,19
2861,4
2862,16
2863,6
2864,14
2865,11
2866,11
2867,11
2868,11
2869,18
2870,17
2871,9
2872,4
2873,1
2874,19
2875,7
2876,2
2877,1
2878,9
2879,4
2880,0
2881,4
2882,1
2883,19
2884,5
2885,11
2886,15
2887,13
2888,0
2889,6
2890,7
2891,10
2892,12
2893,1
2894,5
2895,13
2896,7
2897,10
2898,11
2899,0
2900,4
2901,16
2902,19
2903,3
2904,17
2905,0
2906,4
2907,6
2908,15
2909,15
2910,9
2911,5
2912,5
2913,9
2914,6
2915,5
2916,5
2917,18
2918,9
2919,2
2920,19
2921,12
2922,19
2923,4
2924,0
2925,8
2926,1
2927,11
2928,5
2929,6
2930,14
2931,17
2932,11
2933,0
2934,0
2935,2
2936,19
2937,17
2938,12
2939,0
2940,6
2941,5
2942,10
2943,19
2944,4
2945,18
2946,8
2947,9
2948,19
2949,19
2950,2
2951,1
2952,11
2953,17
2954,11
2955,4
2956,9
2957,3
2958,13
2959,12
2960,6
2961,7
2962,9
2963,8
2964,11
2965,18
2966,19
2967,6
2968,17
2969,2
2970,10
2971,13
2972,9
2973,2
2974,5
2975,17
2976,18
2977,15
2978,0
2979,12
2980,10
2981,18
2982,17
2983,4
2984,15
2985,4
2986,19
2987,9
2988,16
2989,6
2990,14
2991,2
2992,17
2993,14
2994,10
2995,17
2996,9
2997,0
